ServerTime,ESP_ms,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR,Label
2025-04-29 14:38:18.549587,98915,-0.215,-0.474,10.783,0.018,0.032,-0.010,93119,awake
2025-04-29 14:38:18.557835,98935,-0.218,-0.467,10.791,0.015,0.035,-0.010,93142,awake
2025-04-29 14:38:18.593238,98955,-0.218,-0.412,10.791,-0.001,0.035,-0.012,93296,awake
2025-04-29 14:38:18.607026,98975,-0.208,-0.409,10.769,-0.013,0.037,-0.011,93468,awake
2025-04-29 14:38:18.632368,98995,-0.194,-0.433,10.738,-0.017,0.037,-0.011,93601,awake
2025-04-29 14:38:18.657757,99015,-0.239,-0.467,10.752,-0.018,0.038,-0.011,93709,awake
2025-04-29 14:38:18.659220,99035,-0.256,-0.448,10.738,-0.010,0.040,-0.014,93763,awake
2025-04-29 14:38:18.694392,99055,-0.215,-0.417,10.714,0.003,0.038,-0.014,93855,awake
2025-04-29 14:38:18.710795,99075,-0.196,-0.378,10.769,0.007,0.038,-0.010,93985,awake
2025-04-29 14:38:18.724927,99095,-0.218,-0.421,10.803,-0.012,0.038,-0.013,94165,awake
2025-04-29 14:38:18.845560,99115,-0.259,-0.414,10.772,-0.038,0.041,-0.017,94391,awake
2025-04-29 14:38:18.845560,99135,-0.256,-0.445,10.760,-0.046,0.045,-0.019,94418,awake
2025-04-29 14:38:18.845560,99155,-0.218,-0.412,10.709,-0.024,0.043,-0.015,94537,awake
2025-04-29 14:38:18.845560,99175,-0.227,-0.402,10.728,0.003,0.037,-0.011,94668,awake
2025-04-29 14:38:18.845560,99195,-0.211,-0.445,10.752,0.003,0.037,-0.008,94705,awake
2025-04-29 14:38:18.846974,99215,-0.242,-0.443,10.800,-0.020,0.039,-0.010,94327,awake
2025-04-29 14:38:18.874118,99235,-0.227,-0.443,10.798,-0.036,0.044,-0.014,93379,awake
2025-04-29 14:38:18.892545,99255,-0.249,-0.453,10.762,-0.036,0.040,-0.017,92331,awake
2025-04-29 14:38:18.913529,99275,-0.223,-0.455,10.745,-0.018,0.033,-0.014,91429,awake
2025-04-29 14:38:18.926765,99295,-0.206,-0.464,10.731,0.001,0.027,-0.009,90978,awake
2025-04-29 14:38:18.947534,99315,-0.208,-0.429,10.750,0.010,0.026,-0.006,91002,awake
2025-04-29 14:38:18.957887,99335,-0.244,-0.397,10.755,0.006,0.032,-0.007,91200,awake
2025-04-29 14:38:18.992588,99355,-0.223,-0.381,10.788,-0.007,0.035,-0.006,91429,awake
