ServerTime,ESP_ms,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR
2025-04-29 13:55:42.543746,24611,5.133,2.703,-7.230,0.035,-0.021,-0.108,101986
2025-04-29 13:55:42.576737,24631,5.119,2.907,-7.276,0.015,0.032,-0.038,102039
2025-04-29 13:55:42.593036,24651,5.085,2.842,-7.274,-0.049,0.071,-0.002,102116
2025-04-29 13:55:42.611784,24671,5.033,2.665,-7.175,-0.056,0.082,0.049,102114
2025-04-29 13:55:42.630206,24691,5.013,2.540,-7.137,-0.037,0.040,0.002,101964
2025-04-29 13:55:42.654795,24711,5.049,2.607,-7.132,0.006,0.004,-0.037,101562
2025-04-29 13:55:42.674381,24731,5.095,2.768,-7.204,0.006,0.000,-0.054,101030
2025-04-29 13:55:42.693940,24751,5.126,2.792,-7.250,-0.011,0.029,-0.017,100469
2025-04-29 13:55:42.713334,24771,5.097,2.720,-7.247,-0.035,0.056,0.000,100063
2025-04-29 13:55:42.735305,24791,5.049,2.650,-7.171,-0.030,0.067,0.013,99977
2025-04-29 13:55:42.756563,24811,5.028,2.648,-7.118,-0.019,0.045,-0.013,100114
2025-04-29 13:55:42.762457,24831,5.052,2.693,-7.132,-0.010,0.018,-0.020,100430
2025-04-29 13:55:42.792090,24851,5.104,2.717,-7.197,-0.015,0.011,-0.022,100783
2025-04-29 13:55:42.813236,24871,5.109,2.715,-7.247,-0.020,0.027,-0.012,101137
2025-04-29 13:55:42.833981,24891,5.090,2.682,-7.202,-0.020,0.048,-0.008,101529
2025-04-29 13:55:42.854944,24911,5.037,2.682,-7.197,-0.019,0.055,-0.006,101884
2025-04-29 13:55:42.862831,24931,5.016,2.693,-7.175,-0.018,0.045,-0.010,102201
2025-04-29 13:55:42.894222,24951,5.025,2.701,-7.151,-0.018,0.023,-0.017,102347
2025-04-29 13:55:42.917797,24971,5.073,2.693,-7.202,-0.019,0.019,-0.014,102485
2025-04-29 13:55:42.935148,24991,5.085,2.693,-7.233,-0.022,0.028,-0.013,102506
2025-04-29 13:55:42.955954,25011,5.114,2.677,-7.219,-0.019,0.042,-0.011,102553
2025-04-29 13:55:42.975431,25031,5.059,2.684,-7.207,-0.015,0.050,-0.010,102580
2025-04-29 13:55:42.995669,25051,5.049,2.720,-7.166,-0.018,0.041,-0.014,102605
2025-04-29 13:55:43.015307,25071,5.054,2.713,-7.161,-0.021,0.028,-0.012,102635
2025-04-29 13:55:43.034663,25091,5.076,2.684,-7.180,-0.023,0.021,-0.015,102656
2025-04-29 13:55:43.046484,25111,5.112,2.693,-7.230,-0.016,0.029,-0.015,102653
2025-04-29 13:55:43.074530,25131,5.092,2.693,-7.247,-0.014,0.040,-0.017,102675
2025-04-29 13:55:43.093667,25151,5.057,2.708,-7.199,-0.018,0.046,-0.011,102704
2025-04-29 13:55:43.118171,25171,5.054,2.708,-7.168,-0.023,0.040,-0.006,102683
2025-04-29 13:55:43.134126,25191,5.054,2.684,-7.178,-0.022,0.026,-0.012,102584
2025-04-29 13:55:43.154901,25211,5.083,2.693,-7.178,-0.018,0.024,-0.015,102574
2025-04-29 13:55:43.174012,25231,5.092,2.710,-7.199,-0.016,0.033,-0.014,102704
2025-04-29 13:55:43.193946,25251,5.069,2.701,-7.192,-0.018,0.042,-0.010,102578
2025-04-29 13:55:43.213056,25271,5.045,2.691,-7.166,-0.020,0.046,-0.008,102525
2025-04-29 13:55:43.231559,25291,5.028,2.698,-7.171,-0.019,0.038,-0.009,102496
2025-04-29 13:55:43.250218,25311,5.076,2.701,-7.192,-0.021,0.028,-0.013,102473
2025-04-29 13:55:43.259553,25331,5.092,2.684,-7.195,-0.020,0.027,-0.013,102435
2025-04-29 13:55:43.293876,25351,5.102,2.686,-7.190,-0.016,0.037,-0.012,102409
2025-04-29 13:55:43.312687,25371,5.064,2.701,-7.183,-0.017,0.042,-0.012,102439
2025-04-29 13:55:43.334566,25391,5.057,2.691,-7.202,-0.021,0.043,-0.006,102361
2025-04-29 13:55:43.354647,25411,5.049,2.701,-7.159,-0.023,0.034,-0.010,102111
2025-04-29 13:55:43.365069,25431,5.064,2.689,-7.166,-0.018,0.029,-0.012,101639
2025-04-29 13:55:43.393274,25451,5.090,2.703,-7.204,-0.018,0.028,-0.017,101018
2025-04-29 13:55:43.415208,25471,5.078,2.701,-7.230,-0.018,0.035,-0.009,100322
2025-04-29 13:55:43.436110,25491,5.064,2.696,-7.195,-0.021,0.043,-0.011,99693
2025-04-29 13:55:43.443095,25511,5.047,2.698,-7.204,-0.016,0.044,-0.007,99247
